iteration,Y_prime,N_prime
1.0,-4.769245418889775e-07,-5.945699879140655e-08
2.0,-1.9423314444825362e-05,-5.311555543595559e-06
3.0,-7.55033173583131e-06,-1.075242383150268e-06
4.0,-2.3249706656650542e-06,2.1959498598084916e-08
5.0,3.087660390520264e-07,-3.867217856197947e-08
6.0,2.8598966531550864e-07,-2.3420431916098503e-07
7.0,-6.052911822926782e-07,-3.3954432648060454e-07
8.0,-1.4903562283598634e-06,-3.872050708996317e-07
9.0,-2.0274155259241936e-06,-4.178629460471334e-07
10.0,-2.100912719002589e-06,-3.6655276085776265e-07
11.0,-1.7741238418105411e-06,-3.0763013665020126e-07
12.0,-1.7531589735250248e-06,-2.2918186926094218e-07
13.0,-1.1501522238235634e-06,-2.1497145599956316e-07
14.0,-6.242169812119153e-07,-1.5699680594258453e-07
15.0,-4.195554487447485e-07,-1.3028044384921625e-07
16.0,-2.2887805902051106e-07,-1.28838162987439e-07
17.0,-8.469212150824202e-08,-1.4524909096865871e-07
18.0,1.8499342005166268e-08,-1.7211051935745569e-07
19.0,1.5487768260798254e-07,-1.9781647058355095e-07
20.0,3.645311625012176e-07,-1.9876733902191632e-07
21.0,4.2715604730825485e-07,-1.96397995364688e-07
22.0,3.9052917572956723e-07,-1.9066251441114117e-07
23.0,2.4151430448888835e-07,-1.8946825444698194e-07
24.0,-5.760070512275422e-09,-1.8024287397205673e-07
25.0,-2.8677524204573854e-07,-1.8566925012916763e-07
26.0,-6.455190943250131e-07,-1.8810891729497477e-07
27.0,-1.0639170106827521e-06,-2.0444326547891093e-07
28.0,-1.503668208661486e-06,-2.308656080622391e-07
29.0,-1.8809656051303314e-06,-2.803376329718183e-07
30.0,-2.3020572943690898e-06,-3.4731455881915754e-07
31.0,-2.758570065198106e-06,-4.327652451919356e-07
32.0,-3.3123760554656656e-06,-5.509730566585069e-07
33.0,-3.872413412975627e-06,-6.969096915632826e-07
34.0,-4.67311390894736e-06,-8.95304882219153e-07
35.0,-5.484848560656559e-06,-1.1250705048608364e-06
36.0,-6.565483827684874e-06,-1.3984286103778002e-06
37.0,-7.584849970701084e-06,-1.6502106039828825e-06
38.0,-8.52944428767978e-06,-1.879757616329475e-06
39.0,-9.333917827724342e-06,-2.068910182694913e-06
40.0,-1.0001128862217319e-05,-2.2216274002568766e-06
41.0,-1.0394851895128115e-05,-2.3089383938605095e-06
42.0,-1.0450673454387705e-05,-2.3092296273285444e-06
43.0,-1.0382628729296583e-05,-2.2679123494903263e-06
44.0,-1.020335156016865e-05,-2.185916336335803e-06
45.0,-1.0080990171254693e-05,-2.0991922844544392e-06
46.0,-1.0102018151840493e-05,-2.0257348588235764e-06
47.0,-1.0270246295034614e-05,-1.9670223167466837e-06
48.0,-1.0776323087426868e-05,-1.9637660199976107e-06
49.0,-1.168715267665948e-05,-2.033310051203601e-06
50.0,-1.255647999448593e-05,-2.107462737863963e-06
51.0,-1.3394228780965375e-05,-2.1851673407602675e-06
52.0,-1.414628864744405e-05,-2.2657334975312998e-06
53.0,-1.4552220763475069e-05,-2.307663809124426e-06
54.0,-1.4672604575781671e-05,-2.318792789601093e-06
55.0,-1.4623186655106902e-05,-2.3236445795143007e-06
56.0,-1.4771711300950211e-05,-2.386334138677695e-06
57.0,-1.5195084763311287e-05,-2.5319470990995227e-06
58.0,-1.5849189354940195e-05,-2.7533012808307533e-06
59.0,-1.677433936010126e-05,-3.050741285763435e-06
60.0,-1.8044043597843677e-05,-3.432574130813447e-06
61.0,-1.9793631427307225e-05,-3.9109239627565245e-06
62.0,-2.2058852164841494e-05,-4.485023958968362e-06
63.0,-2.4628653919497668e-05,-5.121826005824013e-06
64.0,-2.722416667053365e-05,-5.757541738298026e-06
65.0,-2.9406980345021697e-05,-6.308753767407533e-06
66.0,-3.056275378326069e-05,-6.658044887859614e-06
67.0,-2.9696417011052207e-05,-6.62769714868057e-06
68.0,-2.7234980219426058e-05,-6.218839554209509e-06
69.0,-2.235088192856416e-05,-5.34816326715215e-06
70.0,-1.6193426076272983e-05,-4.127180049069831e-06
71.0,-1.0000016216694287e-05,-2.78288996747801e-06
72.0,-5.06906216039215e-06,-1.5658501536409547e-06
73.0,-2.0132033320952093e-06,-6.218276140648321e-07
74.0,-9.505854605355464e-07,-9.20836542556426e-09
75.0,-1.6632058879486916e-06,2.8189056876302617e-07
76.0,-3.5079993273126046e-06,3.3698738155149593e-07
77.0,-5.554141559189441e-06,3.0212930483247794e-07
78.0,-7.313054563136886e-06,2.7322023870106193e-07
79.0,-8.727817937971263e-06,2.690225593343181e-07
80.0,-9.699330302052875e-06,2.971515441788294e-07
81.0,-1.0422542570571263e-05,3.1930496709730923e-07
82.0,-1.0987699365463214e-05,2.963247212441735e-07
83.0,-1.1369596047958104e-05,2.094946491395694e-07
84.0,-1.155706793635304e-05,5.3235068210736624e-08
85.0,-1.1493398125627971e-05,-1.622426692429288e-07
86.0,-1.1205465757006668e-05,-4.179155398435137e-07
87.0,-1.072939247662232e-05,-6.950352825995296e-07
88.0,-1.0184685622878842e-05,-9.715852666041777e-07
89.0,-9.605954046991823e-06,-1.2314886619299732e-06
90.0,-9.093641608455285e-06,-1.4421979093572277e-06
91.0,-8.63908783518274e-06,-1.6118581609289332e-06
92.0,-8.308134108731713e-06,-1.7115705333026953e-06
93.0,-8.033409095837422e-06,-1.7660813092688207e-06
94.0,-7.805881196300611e-06,-1.7608546946384972e-06
95.0,-7.543980142884446e-06,-1.7163525467029696e-06
96.0,-7.1849066672593735e-06,-1.631275843688075e-06
97.0,-6.682779780217684e-06,-1.512420430711415e-06
98.0,-6.029997189369049e-06,-1.3811178291545382e-06
99.0,-5.337269376858546e-06,-1.2499780427599864e-06
100.0,-4.669300412498121e-06,-1.1468367749655258e-06
101.0,-4.12907719108057e-06,-1.0816319460754653e-06
102.0,-3.7260856969928797e-06,-1.062730712189907e-06
103.0,-3.4741479837983993e-06,-1.0828749124035022e-06
104.0,-3.3309764992809235e-06,-1.131545380206334e-06
105.0,-3.2817485152094215e-06,-1.1982160568194189e-06
106.0,-3.2997023290788747e-06,-1.2737230214007062e-06
107.0,-3.347998972535471e-06,-1.3489811976039156e-06
108.0,-3.3893291579187894e-06,-1.4132278318600353e-06
109.0,-3.394227762742196e-06,-1.4598552702806357e-06
110.0,-3.3118449855257133e-06,-1.4850535268710986e-06
111.0,-3.1642952555203728e-06,-1.4813987755740967e-06
112.0,-2.9300916024508726e-06,-1.4513164563412331e-06
113.0,-2.6368829392405685e-06,-1.3985449759760806e-06
114.0,-2.3030750198169283e-06,-1.3291806297781148e-06
115.0,-1.971099003204334e-06,-1.251054416445415e-06
