point,beta_deg,v_prime,iterations_so_far,Y_prime_mean,N_prime_mean,window_iterations,Roddy_Y_prime,Roddy_N_prime
m12,-12.0,-0.20791169081775934,2745,-0.0001946193582919424,0.0005477405388748919,300,0.004783632182335007,0.0032297002051630734
m08,-8.0,-0.13917310096006544,2790,-0.00018190717926172616,0.00032193360118440466,300,0.0032020947068891856,0.0021619149503136563
m04,-4.0,-0.0697564737441253,2820,-9.830401977963798e-05,0.0001549138408736693,300,0.001604956947904835,0.0010835970631412424
p00,0.0,0.0,2880,9.270710805927232e-09,6.3129893043174625e-09,300,-0.0,-0.0
p04,4.0,0.0697564737441253,2805,9.825663308162678e-05,-0.00015492269505036944,300,-0.001604956947904835,-0.0010835970631412424
p08,8.0,0.13917310096006544,2835,0.0001819185548575973,-0.0003219446787033718,300,-0.0032020947068891856,-0.0021619149503136563
p12,12.0,0.20791169081775934,2670,0.00019442579638262824,-0.0005477351836042255,300,-0.004783632182335007,-0.0032297002051630734
