iteration,Y_prime,N_prime
1.0,0.018441390500353098,0.000567951277390238
2.0,0.0007519242087176831,0.0004933207389653952
3.0,-0.0019795125508001985,0.00014660550530662704
4.0,-0.002989557038335467,5.430342212433677e-05
5.0,-0.0029720225590178064,9.57638560254576e-05
6.0,-0.002624240988707614,0.00018580301639689993
7.0,-0.00224329671552532,0.0002688487532045591
8.0,-0.001921483710877385,0.0003249184833845818
9.0,-0.001660784871550333,0.0003563287343660849
10.0,-0.001445362060704801,0.0003707599161811328
11.0,-0.0012763870096751692,0.0003740326275396787
12.0,-0.0011463931358614845,0.00037125464990751464
13.0,-0.001051440542253942,0.00036632331312878825
14.0,-0.000982965785041057,0.00036210218449501063
15.0,-0.0009650588975262654,0.00036082098761922325
16.0,-0.0009374879417104618,0.000359892181503488
17.0,-0.000921939137150288,0.000360840892411635
18.0,-0.0008948288149987594,0.0003586327821142052
19.0,-0.0008846930264894381,0.00035915278972900686
20.0,-0.0008750618819891452,0.0003594895593289514
21.0,-0.0008608384871337526,0.00035865594302025877
22.0,-0.0008404630737151907,0.0003564149690513242
23.0,-0.000808429075819558,0.00035097393055112853
24.0,-0.0007827609679459106,0.00034873131670976407
25.0,-0.0007394835071637837,0.00034242194803447496
26.0,-0.0006904742877464815,0.00033540568312252593
27.0,-0.0006423089041247654,0.000328968242146956
28.0,-0.0005987556465056605,0.00032384192155118606
29.0,-0.0005614741109687503,0.00032039938067432916
30.0,-0.0005304761964691331,0.00031870231066120577
31.0,-0.0005047373875029641,0.0003187741651721289
32.0,-0.00048342162988398237,0.00032045294374373706
33.0,-0.00046566179529386996,0.000323419684679407
34.0,-0.0004507220814263077,0.000327134430783599
35.0,-0.0004384213629489185,0.00033099484172821684
36.0,-0.00042958240515664865,0.00033437396406907496
37.0,-0.0004247359769953876,0.0003367172440788728
38.0,-0.00042414218076370795,0.000337641653308188
39.0,-0.0004281591606376967,0.0003368549162725015
40.0,-0.0004368845359839727,0.00033426478705498886
41.0,-0.0004495994554638984,0.0003299997349465227
42.0,-0.0004647364507376384,0.00032438957473155734
43.0,-0.00048012685623391156,0.0003179446834942043
44.0,-0.0004935506714800101,0.00031120432110096465
