# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
35                  	DILUPBiCGStab	3.645977961520e-03	2.827210244860e-04	1	6.511736391630e-03	7.944692039050e-05	1	false	DICPCG	9.243341112250e-03	8.298795636800e-05	69	true
36                  	DILUPBiCGStab	3.576324446860e-03	2.776919053550e-04	1	6.345203598700e-03	7.731716762310e-05	1	false	DICPCG	9.095274881860e-03	7.884201464800e-05	69	true
37                  	DILUPBiCGStab	3.507135456400e-03	2.731247726080e-04	1	6.185688246840e-03	7.522739256030e-05	1	false	DICPCG	8.933410141180e-03	7.475480954620e-05	69	true
38                  	DILUPBiCGStab	3.444040754170e-03	2.684814189420e-04	1	6.035205788180e-03	7.316891385470e-05	1	false	DICPCG	8.766223204400e-03	7.161389469520e-05	69	true
39                  	DILUPBiCGStab	3.379483119110e-03	2.637963231760e-04	1	5.889273370480e-03	7.115126074550e-05	1	false	DICPCG	8.599647452310e-03	6.815521550700e-05	69	true
40                  	DILUPBiCGStab	3.312281893930e-03	2.590027755810e-04	1	5.744393837720e-03	6.914584041280e-05	1	false	DICPCG	8.433080668590e-03	6.687433066590e-05	69	true
41                  	DILUPBiCGStab	3.243408214390e-03	2.540039354130e-04	1	5.600995311160e-03	6.716290438440e-05	1	false	DICPCG	8.257707966030e-03	8.043234023290e-05	68	true
42                  	DILUPBiCGStab	3.172132572000e-03	2.487824886630e-04	1	5.459398034280e-03	6.518877031860e-05	1	false	DICPCG	8.072513913400e-03	6.148091650240e-05	69	true
43                  	DILUPBiCGStab	3.103272839540e-03	2.434176476180e-04	1	5.321207262500e-03	6.319983431340e-05	1	false	DICPCG	7.898252868460e-03	6.106908824010e-05	69	true
44                  	DILUPBiCGStab	3.035999384920e-03	2.378353427690e-04	1	5.185698374550e-03	6.126317839620e-05	1	false	DICPCG	7.715778594070e-03	5.860417527790e-05	69	true
45                  	DILUPBiCGStab	2.968228728650e-03	2.320030433430e-04	1	5.052246315560e-03	5.930358122760e-05	1	false	DICPCG	7.524548322330e-03	5.566343732050e-05	69	true
46                  	DILUPBiCGStab	2.899561299470e-03	2.262284400120e-04	1	4.925727586290e-03	5.737481794710e-05	1	false	DICPCG	7.334971337930e-03	5.480564953040e-05	69	true
47                  	DILUPBiCGStab	2.829992836130e-03	2.205536851460e-04	1	4.802545214410e-03	5.552113622550e-05	1	false	DICPCG	7.148368289170e-03	5.341543278760e-05	69	true
48                  	DILUPBiCGStab	2.759434203530e-03	2.150038250670e-04	1	4.683528398180e-03	5.370048352170e-05	1	false	DICPCG	6.950956711660e-03	5.225178119060e-05	69	true
49                  	DILUPBiCGStab	2.690702844430e-03	2.094472281720e-04	1	4.564706967560e-03	5.189045733180e-05	1	false	DICPCG	6.757294450280e-03	4.997672454280e-05	69	true
50                  	DILUPBiCGStab	2.625335773830e-03	2.038944508460e-04	1	4.448545845280e-03	4.446969946590e-04	1	false	DICPCG	6.810043827750e-03	6.668107214130e-05	42	true
51                  	DILUPBiCGStab	2.550317718030e-03	1.972771260260e-04	1	4.397547437360e-03	4.257510586960e-04	1	false	DICPCG	6.381159951630e-03	4.568522570200e-05	69	true
52                  	DILUPBiCGStab	2.490573693240e-03	1.920906384080e-04	1	4.290011360870e-03	4.094899072960e-04	1	false	DICPCG	6.195294708830e-03	4.433832090060e-05	69	true
53                  	DILUPBiCGStab	2.430359701590e-03	1.869751637980e-04	1	4.185963631690e-03	3.950503722510e-04	1	false	DICPCG	6.029741078790e-03	4.234599181740e-05	69	true
54                  	DILUPBiCGStab	2.370674244830e-03	1.820885592170e-04	1	4.085121729070e-03	3.813301636990e-04	1	false	DICPCG	5.862946778790e-03	3.989330197960e-05	69	true
55                  	DILUPBiCGStab	2.312207308670e-03	1.773195315970e-04	1	3.985005193910e-03	3.685553637470e-04	1	false	DICPCG	5.694650918980e-03	3.905443264490e-05	69	true
56                  	DILUPBiCGStab	2.254701279810e-03	1.726242401820e-04	1	3.885904728270e-03	3.562338006010e-04	1	false	DICPCG	5.530923148310e-03	3.676423549770e-05	69	true
57                  	DILUPBiCGStab	2.197985181210e-03	1.680877420340e-04	1	3.789989568790e-03	3.440995342820e-04	1	false	DICPCG	5.367066875910e-03	3.510007986760e-05	69	true
