# Region            : cellZone slabA
# Cells             : 26
# Volume            : 7.139798445863e-09
# Time              	volAverage(p)
225                 	8.301005416538e+03
226                 	8.301005416771e+03
227                 	8.301005416698e+03
228                 	8.301005416692e+03
229                 	8.301005416539e+03
230                 	8.301005416490e+03
231                 	8.301005416422e+03
232                 	8.301005416516e+03
233                 	8.301005416716e+03
234                 	8.301005416854e+03
235                 	8.301005416754e+03
236                 	8.301005416317e+03
237                 	8.301005416482e+03
238                 	8.301005416551e+03
239                 	8.301005416580e+03
240                 	8.301005416705e+03
241                 	8.301005416666e+03
242                 	8.301005416438e+03
243                 	8.301005416650e+03
244                 	8.301005416642e+03
245                 	8.301005416426e+03
246                 	8.301005416687e+03
247                 	8.301005416731e+03
248                 	8.301005416683e+03
249                 	8.301005416541e+03
250                 	8.301005416316e+03
251                 	8.301005416645e+03
252                 	8.301005416706e+03
253                 	8.301005416795e+03
254                 	8.301005416683e+03
255                 	8.301005416301e+03
256                 	8.301005416306e+03
257                 	8.301005416568e+03
258                 	8.301005416667e+03
259                 	8.301005416738e+03
260                 	8.301005416606e+03
261                 	8.301005416555e+03
262                 	8.301005416502e+03
263                 	8.301005416501e+03
264                 	8.301005416438e+03
265                 	8.301005416760e+03
266                 	8.301005416737e+03
267                 	8.301005416589e+03
268                 	8.301005416444e+03
269                 	8.301005416654e+03
270                 	8.301005416635e+03
271                 	8.301005416507e+03
272                 	8.301005416456e+03
273                 	8.301005416732e+03
274                 	8.301005416875e+03
275                 	8.301005416390e+03
276                 	8.301005416398e+03
277                 	8.301005416646e+03
278                 	8.301005416616e+03
279                 	8.301005416829e+03
280                 	8.301005416592e+03
281                 	8.301005416677e+03
282                 	8.301005416419e+03
283                 	8.301005416560e+03
284                 	8.301005416462e+03
285                 	8.301005416684e+03
286                 	8.301005416741e+03
287                 	8.301005416620e+03
288                 	8.301005416333e+03
289                 	8.301005416486e+03
290                 	8.301005416737e+03
291                 	8.301005416774e+03
292                 	8.301005416638e+03
293                 	8.301005416735e+03
294                 	8.301005416410e+03
295                 	8.301005416404e+03
296                 	8.301005416614e+03
297                 	8.301005416686e+03
298                 	8.301005416679e+03
299                 	8.301005416554e+03
300                 	8.301005416439e+03
301                 	8.301005416601e+03
302                 	8.301005416508e+03
303                 	8.301005416762e+03
304                 	8.301005416623e+03
305                 	8.301005416411e+03
306                 	8.301005416478e+03
307                 	8.301005416606e+03
308                 	8.301005416598e+03
309                 	8.301005416746e+03
310                 	8.301005416517e+03
311                 	8.301005416534e+03
312                 	8.301005416637e+03
313                 	8.301005416479e+03
314                 	8.301005416494e+03
315                 	8.301005416608e+03
316                 	8.301005416944e+03
317                 	8.301005416777e+03
318                 	8.301005416585e+03
319                 	8.301005416372e+03
320                 	8.301005416460e+03
321                 	8.301005416355e+03
322                 	8.301005416540e+03
323                 	8.301005416783e+03
324                 	8.301005416793e+03
325                 	8.301005416769e+03
326                 	8.301005416422e+03
327                 	8.301005416352e+03
328                 	8.301005416543e+03
329                 	8.301005416802e+03
330                 	8.301005416854e+03
331                 	8.301005416536e+03
332                 	8.301005416457e+03
333                 	8.301005416674e+03
334                 	8.301005416648e+03
335                 	8.301005416411e+03
336                 	8.301005416406e+03
337                 	8.301005416545e+03
338                 	8.301005416698e+03
339                 	8.301005416602e+03
340                 	8.301005416690e+03
341                 	8.301005416991e+03
342                 	8.301005416485e+03
343                 	8.301005416339e+03
344                 	8.301005416447e+03
345                 	8.301005416507e+03
346                 	8.301005416813e+03
347                 	8.301005416703e+03
348                 	8.301005416554e+03
349                 	8.301005416133e+03
350                 	8.301005416552e+03
351                 	8.301005416927e+03
352                 	8.301005416844e+03
353                 	8.301005416513e+03
354                 	8.301005416469e+03
355                 	8.301005416558e+03
356                 	8.301005416580e+03
357                 	8.301005416734e+03
358                 	8.301005416684e+03
359                 	8.301005416561e+03
360                 	8.301005416360e+03
361                 	8.301005416359e+03
362                 	8.301005416767e+03
363                 	8.301005416965e+03
364                 	8.301005416412e+03
365                 	8.301005416409e+03
366                 	8.301005416398e+03
367                 	8.301005416522e+03
368                 	8.301005416775e+03
369                 	8.301005416644e+03
370                 	8.301005416762e+03
371                 	8.301005416685e+03
372                 	8.301005416469e+03
373                 	8.301005416370e+03
374                 	8.301005416443e+03
375                 	8.301005416873e+03
376                 	8.301005416843e+03
377                 	8.301005416536e+03
378                 	8.301005416514e+03
379                 	8.301005416422e+03
380                 	8.301005416442e+03
381                 	8.301005416503e+03
382                 	8.301005416863e+03
383                 	8.301005416936e+03
384                 	8.301005416547e+03
385                 	8.301005416476e+03
386                 	8.301005416497e+03
387                 	8.301005416524e+03
388                 	8.301005416616e+03
389                 	8.301005416731e+03
390                 	8.301005416551e+03
391                 	8.301005416616e+03
392                 	8.301005416600e+03
393                 	8.301005416532e+03
394                 	8.301005416449e+03
395                 	8.301005416602e+03
396                 	8.301005416715e+03
397                 	8.301005416538e+03
398                 	8.301005416567e+03
399                 	8.301005416704e+03
400                 	8.301005416639e+03
401                 	8.301005416488e+03
402                 	8.301005416580e+03
403                 	8.301005416758e+03
404                 	8.301005416556e+03
405                 	8.301005416446e+03
406                 	8.301005416518e+03
407                 	8.301005416592e+03
408                 	8.301005416689e+03
409                 	8.301005416622e+03
410                 	8.301005416637e+03
411                 	8.301005416411e+03
412                 	8.301005416488e+03
413                 	8.301005416863e+03
414                 	8.301005416816e+03
415                 	8.301005416574e+03
416                 	8.301005416387e+03
417                 	8.301005416581e+03
418                 	8.301005416395e+03
419                 	8.301005416459e+03
420                 	8.301005416587e+03
421                 	8.301005416736e+03
422                 	8.301005416775e+03
423                 	8.301005416818e+03
424                 	8.301005416530e+03
425                 	8.301005416391e+03
426                 	8.301005416433e+03
427                 	8.301005416566e+03
428                 	8.301005416640e+03
429                 	8.301005416613e+03
430                 	8.301005416594e+03
431                 	8.301005416525e+03
432                 	8.301005416604e+03
433                 	8.301005416741e+03
434                 	8.301005416578e+03
435                 	8.301005416808e+03
436                 	8.301005416505e+03
437                 	8.301005416300e+03
438                 	8.301005416563e+03
439                 	8.301005416756e+03
440                 	8.301005416753e+03
441                 	8.301005416671e+03
442                 	8.301005416675e+03
443                 	8.301005416500e+03
444                 	8.301005416293e+03
445                 	8.301005416555e+03
446                 	8.301005416633e+03
447                 	8.301005416748e+03
448                 	8.301005416540e+03
449                 	8.301005416621e+03
450                 	8.301005416393e+03
451                 	8.301005416385e+03
452                 	8.301005416787e+03
453                 	8.301005416586e+03
454                 	8.301005416803e+03
455                 	8.301005416667e+03
456                 	8.301005416402e+03
457                 	8.301005416325e+03
458                 	8.301005416577e+03
459                 	8.301005416795e+03
460                 	8.301005416650e+03
461                 	8.301005416607e+03
462                 	8.301005416884e+03
463                 	8.301005416613e+03
464                 	8.301005416416e+03
465                 	8.301005416248e+03
466                 	8.301005416603e+03
467                 	8.301005416848e+03
468                 	8.301005417012e+03
469                 	8.301005416477e+03
470                 	8.301005416093e+03
471                 	8.301005416252e+03
472                 	8.301005416608e+03
473                 	8.301005417087e+03
474                 	8.301005416859e+03
475                 	8.301005416428e+03
476                 	8.301005416435e+03
477                 	8.301005416428e+03
478                 	8.301005416955e+03
479                 	8.301005416804e+03
480                 	8.301005416595e+03
481                 	8.301005416233e+03
482                 	8.301005416579e+03
483                 	8.301005416517e+03
484                 	8.301005416616e+03
485                 	8.301005416739e+03
486                 	8.301005416734e+03
487                 	8.301005416400e+03
488                 	8.301005416428e+03
489                 	8.301005416586e+03
490                 	8.301005416827e+03
491                 	8.301005416624e+03
492                 	8.301005416246e+03
493                 	8.301005416400e+03
494                 	8.301005416894e+03
495                 	8.301005416781e+03
496                 	8.301005416677e+03
497                 	8.301005416571e+03
498                 	8.301005416294e+03
499                 	8.301005416453e+03
500                 	8.301005416788e+03
501                 	8.301005416767e+03
502                 	8.301005416725e+03
503                 	8.301005416372e+03
504                 	8.301005416364e+03
505                 	8.301005416493e+03
506                 	8.301005416606e+03
507                 	8.301005416912e+03
508                 	8.301005416740e+03
509                 	8.301005416436e+03
510                 	8.301005416198e+03
511                 	8.301005416540e+03
512                 	8.301005416843e+03
513                 	8.301005416952e+03
514                 	8.301005416679e+03
515                 	8.301005416326e+03
516                 	8.301005416478e+03
517                 	8.301005416616e+03
518                 	8.301005416468e+03
519                 	8.301005416549e+03
520                 	8.301005416659e+03
521                 	8.301005416467e+03
522                 	8.301005416759e+03
523                 	8.301005416593e+03
524                 	8.301005416554e+03
525                 	8.301005416612e+03
526                 	8.301005416742e+03
527                 	8.301005416662e+03
528                 	8.301005416524e+03
529                 	8.301005416421e+03
530                 	8.301005416614e+03
531                 	8.301005416782e+03
532                 	8.301005416544e+03
533                 	8.301005416559e+03
