# B_hi_c_adiabatic: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
52000	6.516151535e+01	0.255789210	2.635390466e-01	no
52500	6.516131501e+01	0.255802063	2.635589901e-01	no
53000	6.516125193e+01	0.255801803	2.635471924e-01	no
53500	6.516141149e+01	0.255815413	2.635530810e-01	no
54000	6.516140311e+01	0.255806337	2.635886371e-01	no
54500	6.516218853e+01	0.255811249	2.635870719e-01	no
55000	6.516215681e+01	0.255799395	2.635875803e-01	no
55500	6.516176224e+01	0.255793993	2.635386281e-01	no
56000	6.516152436e+01	0.255797190	2.635376587e-01	no
56500	6.516105214e+01	0.255794570	2.635692360e-01	no
57000	6.516189736e+01	0.255808334	2.635853747e-01	no
57500	6.516226190e+01	0.255800654	2.635573897e-01	no
58000	6.516262799e+01	0.255805995	2.635888391e-01	no
58500	6.516118089e+01	0.255827346	2.635714986e-01	no
59000	6.516114308e+01	0.255791196	2.635781305e-01	no
59500	6.516274376e+01	0.255798835	2.635525587e-01	no
59600	6.516188195e+01	0.255797593	2.635603852e-01	yes
59650	6.516228094e+01	0.255795899	2.635621675e-01	yes
59700	6.516189506e+01	0.255797527	2.635831658e-01	yes
59750	6.516169752e+01	0.255794396	2.635611562e-01	yes
59800	6.516162627e+01	0.255794530	2.635723387e-01	yes
59850	6.516167434e+01	0.255789305	2.635429412e-01	yes
59900	6.516206059e+01	0.255803761	2.635774183e-01	yes
59950	6.516171731e+01	0.255809940	2.635855740e-01	yes
60000	6.516157151e+01	0.255799057	2.635558972e-01	yes
