# A1WR arm-I alpha=12 CONTINUED reference series -- THE REPRODUCTION TARGET, NOT A CONTROL FIXTURE
# Extracted 2026-09-03 from /home/ubuntu/certonomous-runs/A1WR/STAGE12/sweep_I/out/sweep.log
# segment AOA_POINT_BEGIN idx=12 .. AOA_POINT_END idx=12 ; 41 print steps, printInterval 100, endTime 4000
# Graded NOT CONVERGED by a1wr_read.py (md5 22479c8954702fbb6e1b0594fe2b8d4c): ran to the cap, no tolerance-satisfied line.
# This file is the historical measurement A1WRT reproduces. It is NEVER used as a planted-control fixture.
time	CL	CD	yplus_max
1	1.105573315057332	0.04664657023269937	0.03704721855960987
100	1.166151096545432	0.03997186236437924	0.03707324191882384
200	1.195982149023933	0.0306242244541559	0.03724770066727526
300	1.198525079898199	0.03204531121394041	0.03759074840375479
400	1.203172113934681	0.03143140108157446	0.03799878968333185
500	1.204257524180462	0.03092442418362127	0.03831523316313867
600	1.203935614437924	0.03085288389770765	0.03852815476192287
700	1.203231040798584	0.0307943052249344	0.03866579064209404
800	1.202248158413092	0.03074704462214374	0.03874957448164044
900	1.201148367603081	0.03071972181559486	0.03879740794751464
1000	1.200061985132958	0.03070213758200795	0.03882242461267679
1100	1.199048391689406	0.03069083049636948	0.03883327607494848
1200	1.198131868762869	0.03068372146450687	0.03883561354159541
1300	1.197317825312079	0.03067894784439134	0.03883309434722081
1400	1.196599099039977	0.03067539706387245	0.038828027251376
1500	1.195963706923968	0.03067247883165413	0.03882182718602415
1600	1.195399432154504	0.0306699697446689	0.03881532275077337
1700	1.194895269273671	0.03066771058214379	0.03880896750743241
1800	1.194442598628163	0.03066573862539305	0.03880298427321055
1900	1.194034832689879	0.03066413526389367	0.03879746473918379
2000	1.193666597191532	0.03066286398971784	0.03879242768008754
2100	1.193333670035733	0.03066190758605841	0.03878785422296639
2200	1.193032771542802	0.03066126638126795	0.03878371063074923
2300	1.192760934887046	0.03066085304902238	0.03877995955730953
2400	1.192515556713001	0.03066062576505205	0.0387765649062418
2500	1.192294363899098	0.03066056044493553	0.03877349371978694
2600	1.192095308161367	0.03066062561602677	0.03877071645608286
2700	1.191916517025881	0.03066079281215374	0.03876820674893742
2800	1.19175626022851	0.0306610373138175	0.03876594106179524
2900	1.191612932581464	0.03066133767318666	0.03876389827137446
3000	1.191485049885504	0.03066168046880778	0.03876205925869936
3100	1.19137125572697	0.03066205779173591	0.03876040657315263
3200	1.191270281712946	0.030662458667821	0.03875892420661491
3300	1.191180929639915	0.03066287042635953	0.03875759742511227
3400	1.191102063419155	0.03066328067864574	0.03875641261368423
3500	1.191032631750367	0.03066368313206276	0.0387553571282818
3600	1.19097167287288	0.03066407471908637	0.03875441917444401
3700	1.190918301572535	0.03066445232540813	0.03875358774111087
3800	1.190871705065521	0.03066481371356541	0.03875285257850602
3900	1.19083113822976	0.03066515705509421	0.03875220418606944
4000	1.190795920241148	0.03066548116603767	0.03875163378783598
